call_id,is_precursor,is_recall,precursor_call_id,hours_from_first_call
1761804,N,N,,
643174,N,N,,
1977979,N,N,,
354391,N,N,,
2018660,N,N,,
1135860,N,N,,
2130895,N,N,,
381448,Y,N,,
382073,N,Y,381448,0:13:10
247555,N,N,,
1721781,N,N,,
347674,N,N,,
1904268,N,N,,
64957,N,N,,
873053,N,N,,
660577,N,N,,
2238333,N,N,,
2208317,N,N,,
1211339,N,N,,
1503419,N,N,,
1798993,N,N,,
1529140,N,N,,
2265736,N,N,,
1705787,N,N,,
1562613,N,N,,
406441,N,N,,
1913305,N,N,,
1986028,N,N,,
1828827,N,N,,
649092,N,N,,
93357,N,N,,
58737,N,N,,
622182,N,N,,
947033,N,N,,
1125745,N,N,,
1786841,N,N,,
516259,N,N,,
894633,N,N,,
1783976,N,N,,
454564,N,N,,
2168122,N,N,,
396592,N,N,,
1020252,N,N,,
1016999,N,N,,
70639,N,N,,
248544,N,N,,
969559,N,N,,
622349,N,N,,
1053333,N,N,,
959244,N,N,,
1741932,N,N,,
1066082,N,N,,
2017471,N,N,,
857601,Y,N,,
918044,N,Y,857601,"1 day, 23:34:39"
690104,N,N,,
2041081,N,N,,
499935,N,N,,
1824973,N,N,,
424214,N,N,,
1168110,N,N,,
1675097,N,N,,
1902278,N,N,,
2109740,N,N,,
2247951,N,N,,
2127123,N,N,,
2152715,N,N,,
229348,N,N,,
492206,N,N,,
853344,N,N,,
2052380,N,N,,
1735539,N,N,,
1795416,N,N,,
207856,N,N,,
1132411,N,N,,
1867047,N,N,,
362922,N,N,,
2181107,N,N,,
1741320,N,N,,
251428,N,N,,
2166174,N,N,,
2210131,N,N,,
1641994,N,N,,
2168875,N,N,,
384919,N,N,,
628141,N,N,,
1981145,N,N,,
1335349,Y,N,,
1335505,N,Y,1335349,0:03:08
1793533,N,N,,
1611118,N,N,,
917326,N,N,,
402557,N,N,,
522307,N,N,,
796759,N,N,,
1703995,N,N,,
468709,N,N,,
2225637,N,N,,
835109,N,N,,
2001358,N,N,,
2061214,N,N,,
1057307,N,N,,
1118985,N,N,,
318548,N,N,,
1954741,N,N,,
114604,N,N,,
292763,N,N,,
110178,N,N,,
2227503,N,N,,
2271967,N,N,,
1342111,N,N,,
942578,N,N,,
1714722,N,N,,
1887480,N,N,,
1946974,N,N,,
1591864,N,N,,
1813700,N,N,,
1552394,N,N,,
794181,N,N,,
90729,N,N,,
1653593,N,N,,
839226,N,N,,
664860,N,N,,
1630795,N,N,,
1087137,N,N,,
830219,N,N,,
2232675,N,N,,
127878,Y,N,,
128280,N,Y,127878,0:10:59
1339266,N,N,,
2208617,N,N,,
1089342,N,N,,
254112,N,N,,
398948,N,N,,
1249879,N,N,,
290290,N,N,,
309276,N,N,,
996058,N,N,,
1486956,N,N,,
2200360,N,N,,
1890670,N,N,,
1629755,N,N,,
1315501,N,N,,
1093842,N,N,,
2249113,N,N,,
2079526,N,N,,
1571025,N,N,,
911587,N,N,,
983158,N,N,,
896174,N,N,,
2106622,N,N,,
1156750,N,N,,
2226844,N,N,,
628124,N,N,,
1835541,N,N,,
801634,N,N,,
346218,N,N,,
1444433,N,N,,
2082988,N,N,,
461817,N,N,,
1558466,N,N,,
2255031,N,N,,
912193,N,N,,
2262454,N,N,,
1097494,N,N,,
899381,N,N,,
906858,N,N,,
2244794,N,N,,
2074085,N,N,,
999376,N,N,,
204068,N,N,,
1547664,N,N,,
1687316,N,N,,
935395,N,N,,
2062741,N,N,,
393115,N,N,,
1859041,N,N,,
2054312,N,N,,
1570712,Y,N,,
1571020,N,Y,1570712,0:07:04
1811262,N,N,,
2008196,N,N,,
441868,N,N,,
899281,N,N,,
128830,N,N,,
752733,N,N,,
247331,N,N,,
2185492,N,N,,
1681823,N,N,,
1948233,N,N,,
62205,N,N,,
1903601,N,N,,
934877,N,N,,
1900080,N,N,,
1268136,N,N,,
2219176,N,N,,
1632838,N,N,,
743215,N,N,,
2005888,N,N,,
488954,N,N,,
2041565,N,N,,
378714,N,N,,
114977,N,N,,
1339158,N,N,,
491624,N,N,,
125222,N,N,,
784930,N,N,,
1521859,N,N,,
1895853,N,N,,
781748,N,N,,
2075718,N,N,,
2120246,N,N,,
2102263,N,N,,
1339882,N,N,,
2148719,N,N,,
536930,N,N,,
1913399,N,N,,
760706,N,N,,
961317,N,N,,
524329,N,N,,
62881,N,N,,
2138545,N,N,,
1580949,N,N,,
2179020,N,N,,
1973963,N,N,,
1807149,N,N,,
1562466,N,N,,
257146,N,N,,
1518193,N,N,,
2002314,N,N,,
44906,N,N,,
2256276,N,N,,
1347041,N,N,,
387234,N,N,,
1744555,Y,N,,
1744771,N,Y,1744555,0:04:27
1811091,N,N,,
2255245,N,N,,
1852752,N,N,,
1277262,N,N,,
629634,N,N,,
1841614,N,N,,
42882,N,N,,
877777,N,N,,
1948585,N,N,,
1437147,N,N,,
1600346,Y,N,,
1600532,N,Y,1600346,0:03:30
1588780,N,N,,
2241193,N,N,,
2217897,N,N,,
1164929,N,N,,
1439666,N,N,,
701097,N,N,,
2266682,N,N,,
858424,N,N,,
1478913,N,N,,
2266009,N,N,,
2230291,N,N,,
895750,N,N,,
1261143,N,N,,
1865252,N,N,,
953224,N,N,,
957435,N,N,,
1820403,N,N,,
1441812,N,N,,
1623773,N,N,,
2170189,N,N,,
2051142,N,N,,
1659943,N,N,,
1339072,N,N,,
1094768,N,N,,
115742,N,N,,
1133992,N,N,,
234155,N,N,,
1693768,N,N,,
2126185,N,N,,
1140433,N,N,,
625745,N,N,,
660979,N,N,,
795500,N,N,,
511780,N,N,,
1711464,N,N,,
2051811,N,N,,
2131282,N,N,,
250572,N,N,,
745602,N,N,,
2216480,N,N,,
407791,Y,N,,
408799,N,Y,407791,0:17:22
1202027,N,N,,
1623075,N,N,,
1763344,N,N,,
980675,N,N,,
2085263,N,N,,
353707,N,N,,
2148377,N,N,,
579977,N,N,,
1784512,N,N,,
2101275,N,N,,
2220190,N,N,,
1663499,N,N,,
378447,N,N,,
802689,N,N,,
373751,N,N,,
15652,N,N,,
52702,N,N,,
2167629,N,N,,
1829193,N,N,,
2077081,N,N,,
1267173,N,N,,
1747138,N,N,,
743217,N,N,,
1469103,N,N,,
631232,N,N,,
1452400,N,N,,
2045141,N,N,,
2229462,N,N,,
367015,N,N,,
508756,N,N,,
1704904,N,N,,
49393,N,N,,
1977826,N,N,,
2038720,N,N,,
2075663,N,N,,
631343,N,N,,
504195,N,N,,
1614101,N,N,,
201189,N,N,,
62330,N,N,,
1454472,N,N,,
2127255,N,N,,
665577,N,N,,
315345,N,N,,
